label,x,y
2,6,0
2,11,0
2,14,0
2,20,0
2,21,0
2,22,0
2,23,0
2,25,0
2,26,0
2,27,0
2,28,0
2,29,0
2,33,0
2,34,0
2,36,0
2,37,0
2,38,0
2,39,0
2,40,0
2,41,0
2,42,0
2,44,0
2,45,0
2,46,0
2,47,0
2,48,0
2,49,0
2,50,0
2,51,0
2,53,0
2,54,0
2,55,0
2,57,0
2,59,0
2,60,0
2,61,0
2,62,0
2,63,0
2,64,0
2,65,0
2,66,0
2,67,0
2,68,0
2,69,0
2,70,0
2,71,0
2,72,0
2,73,0
2,74,0
2,75,0
2,76,0
2,77,0
2,78,0
2,79,0
2,80,0
2,81,0
2,82,0
2,83,0
2,84,0
2,85,0
2,86,0
2,87,0
2,88,0
2,89,0
2,90,0
2,91,0
2,92,0
2,93,0
2,94,0
2,95,0
2,96,0
2,97,0
2,99,0
2,100,0
2,101,0
2,102,0
2,103,0
2,104,0
2,105,0
2,106,0
2,107,0
2,108,0
2,109,0
2,111,0
2,112,0
2,114,0
2,115,0
2,116,0
2,117,0
2,118,0
2,120,0
2,122,0
2,123,0
2,124,0
2,125,0
2,126,0
2,127,0
2,128,0
2,129,0
2,130,0
2,131,0
2,132,0
2,133,0
2,134,0
2,135,0
2,137,0
2,138,0
2,139,0
2,141,0
2,142,0
2,143,0
2,144,0
2,146,0
2,147,0
2,148,0
2,151,0
2,152,0
2,153,0
2,155,0
2,156,0
2,158,0
2,160,0
2,161,0
2,162,0
2,163,0
2,166,0
2,168,0
2,169,0
2,170,0
2,172,0
2,174,0
2,179,0
2,0,1
2,13,1
2,14,1
2,18,1
2,19,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,30,1
2,31,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,47,1
2,48,1
2,49,1
2,50,1
2,51,1
2,53,1
2,54,1
2,55,1
2,56,1
2,57,1
2,58,1
2,59,1
2,60,1
2,62,1
2,63,1
2,64,1
2,65,1
2,66,1
2,67,1
2,68,1
2,69,1
2,70,1
2,71,1
2,72,1
2,73,1
2,74,1
2,75,1
2,76,1
2,77,1
2,78,1
2,79,1
2,80,1
2,81,1
2,82,1
2,83,1
2,84,1
2,85,1
2,86,1
2,87,1
2,88,1
2,89,1
2,90,1
2,92,1
2,93,1
2,94,1
2,95,1
2,96,1
2,97,1
2,100,1
2,101,1
2,102,1
2,103,1
2,104,1
2,105,1
2,107,1
2,108,1
2,109,1
2,110,1
2,111,1
2,112,1
2,114,1
2,115,1
2,116,1
2,117,1
2,118,1
2,119,1
2,120,1
2,121,1
2,122,1
2,124,1
2,126,1
2,127,1
2,128,1
2,129,1
2,130,1
2,131,1
